iter	Passed	Remaining
0	225	22317
1	419	20555
2	570	18431
3	732	17578
4	889	16905
5	1051	16470
6	1244	16529
7	1395	16044
8	1576	15944
9	1737	15633
10	1894	15329
11	2061	15118
12	2217	14837
13	2364	14524
14	2521	14289
15	2738	14377
16	2878	14054
17	3022	13769
18	3166	13501
19	3304	13216
20	3451	12982
21	3605	12782
22	3767	12614
23	3927	12436
24	4069	12209
25	4226	12028
26	4392	11875
27	4544	11685
28	4688	11477
29	4857	11334
30	5006	11143
31	5181	11009
32	5329	10820
33	5469	10616
34	5628	10452
35	5771	10260
36	5935	10105
37	6104	9959
38	6262	9795
39	6423	9635
40	6580	9469
41	6723	9284
42	6870	9107
43	7024	8940
44	7185	8782
45	7332	8608
46	7482	8438
47	7623	8258
48	7784	8102
49	7917	7917
50	8049	7733
51	8183	7554
52	8338	7394
53	8477	7221
54	8633	7063
55	8778	6897
56	8931	6737
57	9082	6576
58	9225	6410
59	9355	6236
60	9499	6073
61	9650	5914
62	9798	5754
63	9946	5594
64	10087	5431
65	10212	5261
66	10365	5105
67	10508	4944
68	10674	4795
69	10813	4634
70	10967	4479
71	11107	4319
72	11236	4155
73	11370	3995
74	11518	3839
75	11655	3680
76	11791	3522
77	11920	3362
78	12055	3204
79	12197	3049
80	12356	2898
81	12482	2740
82	12629	2586
83	12776	2433
84	12913	2278
85	13043	2123
86	13194	1971
87	13317	1816
88	13477	1665
89	13613	1512
90	13732	1358
91	13876	1206
92	14015	1054
93	14175	904
94	14318	753
95	14468	602
96	14608	451
97	14728	300
98	14863	150
99	15022	0
