iter	RMSE
0	16017.31236
1	15104.02258
2	14802.4757
3	14443.7515
4	13776.09157
5	12968.8283
6	12876.21305
7	12216.54209
8	11619.4254
9	11298.75605
10	11054.53835
11	10847.91567
12	10667.64147
13	10544.61749
14	10042.05024
15	9841.735659
16	9601.229822
17	9544.323266
18	9484.326889
19	9465.575812
20	9234.213028
21	8980.132587
22	8862.333759
23	8694.739312
24	8518.264831
25	8221.240292
26	8219.248006
27	7989.297813
28	7717.180779
29	7623.767568
30	7544.385766
31	7293.239457
32	7160.793171
33	7087.920398
34	6976.308532
35	6948.014953
36	6772.998018
37	6626.001437
38	6577.35847
39	6520.505709
40	6453.276813
41	6434.907608
42	6233.614407
43	6058.597368
44	5887.188514
45	5827.13133
46	5734.350837
47	5668.165886
48	5548.762253
49	5482.960397
50	5363.17785
51	5266.540652
52	5178.810977
53	5062.952148
54	4982.611163
55	4934.591281
56	4856.219029
57	4817.568831
58	4679.8524
59	4630.377452
60	4523.960158
61	4434.30959
62	4397.710201
63	4346.717588
64	4245.723331
65	4185.6582
66	4140.674126
67	4089.839242
68	4038.200502
69	4015.599952
70	3988.136251
71	3917.917168
72	3862.293598
73	3818.782506
74	3774.553732
75	3747.114722
76	3707.617135
77	3652.764213
78	3614.048771
79	3576.647256
80	3511.653827
81	3495.809469
82	3430.203066
83	3360.920311
84	3331.856547
85	3299.601524
86	3258.63714
87	3228.242515
88	3188.063644
89	3143.987027
90	3117.021603
91	3096.170154
92	3060.646464
93	3045.87457
94	3026.984555
95	3006.605284
96	2963.45795
97	2924.773439
98	2919.289177
99	2908.507079
100	2886.946278
101	2859.184519
102	2832.230807
103	2813.203255
104	2786.482188
105	2758.656463
106	2742.818621
107	2733.720663
108	2723.241969
109	2696.336264
110	2678.081082
111	2658.608764
112	2642.510861
113	2627.11462
114	2620.79212
115	2601.976953
116	2593.971553
117	2588.012764
118	2580.268174
119	2570.110819
120	2547.910548
121	2529.828225
122	2523.929725
123	2509.40079
124	2508.297851
125	2493.606958
126	2485.292473
127	2462.118973
128	2439.51305
129	2419.436415
130	2403.251773
131	2395.889834
132	2383.766327
133	2376.350222
134	2360.773158
135	2353.210623
136	2346.48316
137	2334.259759
138	2330.726344
139	2316.885839
140	2308.538948
141	2292.897565
142	2274.863187
143	2265.905644
144	2251.378036
145	2250.40659
146	2240.63448
147	2234.043249
148	2224.040156
149	2221.561497
150	2218.723854
151	2212.414729
152	2202.286229
153	2196.352588
154	2191.012838
155	2187.319276
156	2177.013957
157	2173.335757
158	2165.021302
159	2157.000229
160	2155.132111
161	2145.244945
162	2142.096584
163	2136.55712
164	2130.060427
165	2120.621554
166	2110.977512
167	2107.2182
168	2103.065852
169	2102.239525
170	2093.729587
171	2090.742599
172	2084.970833
173	2076.171966
174	2070.957282
175	2069.860168
176	2062.828772
177	2058.679594
178	2056.33629
179	2054.118298
180	2050.592011
181	2048.836868
182	2043.251897
183	2042.458825
184	2038.680176
185	2037.270462
186	2035.893614
187	2029.928252
188	2028.340731
189	2022.517609
190	2017.322203
191	2012.473486
192	2011.887249
193	2004.267792
194	2000.29634
195	1995.521246
196	1992.971669
197	1992.462845
198	1990.207306
199	1988.658239
200	1987.020953
201	1986.481233
202	1984.61296
203	1978.484129
204	1973.951175
205	1970.212934
206	1967.152145
207	1963.535807
208	1962.788213
209	1961.541267
210	1959.307468
211	1958.984134
212	1956.213642
213	1955.469612
214	1952.926973
215	1951.763472
216	1949.036027
217	1947.106256
218	1944.8151
219	1941.381945
220	1939.736116
221	1937.673394
222	1937.402897
223	1934.885056
224	1932.080021
225	1929.373188
226	1927.662873
227	1926.991388
228	1925.565009
229	1924.390226
230	1922.682624
231	1920.947152
232	1919.207761
233	1918.331734
234	1918.065409
235	1915.972839
236	1913.866608
237	1912.820961
238	1912.417438
239	1911.483517
240	1910.417734
241	1909.077911
242	1908.202328
243	1907.201818
244	1906.467756
245	1904.393132
246	1904.146724
247	1903.622313
248	1901.602519
249	1900.758792
250	1900.022796
251	1898.01877
252	1896.655969
253	1895.674724
254	1894.329167
255	1894.017071
256	1893.77191
257	1893.664526
258	1893.124613
259	1891.60216
260	1891.585144
261	1890.099747
262	1889.456788
263	1888.311635
264	1886.927452
265	1885.406307
266	1883.825657
267	1881.113864
268	1880.881028
269	1879.816851
270	1879.184069
271	1878.581658
272	1877.605292
273	1876.885008
274	1876.130807
275	1875.7608
276	1875.489848
277	1874.606711
278	1873.953609
279	1873.636152
280	1872.041562
281	1871.972415
282	1870.972427
283	1870.443831
284	1869.745285
285	1868.522905
286	1868.016656
287	1867.674923
288	1867.4295
289	1865.821531
290	1864.379416
291	1863.586001
292	1862.489152
293	1862.074574
294	1861.636876
295	1860.627619
296	1860.13441
297	1859.737654
298	1859.357725
299	1858.675153
300	1858.392312
301	1858.004943
302	1857.595869
303	1856.823144
304	1856.581114
305	1855.850993
306	1855.401696
307	1854.43581
308	1853.979686
309	1853.885288
310	1853.294268
311	1853.080389
312	1852.577904
313	1852.344681
314	1851.687347
315	1851.46302
316	1850.94069
317	1850.286658
318	1850.000917
319	1849.52333
320	1849.304494
321	1848.708434
322	1848.320863
323	1848.022656
324	1847.703252
325	1847.135952
326	1846.83807
327	1846.688948
328	1846.367035
329	1846.216144
330	1846.040417
331	1845.788439
332	1845.732534
333	1845.619403
334	1845.389257
335	1845.272927
336	1845.008918
337	1844.831061
338	1844.663024
339	1844.365701
340	1844.052313
341	1843.564848
342	1843.166718
