iter	Passed	Remaining
0	14	7411
1	42	10621
2	67	11234
3	101	12590
4	128	12768
5	157	12991
6	171	12096
7	200	12301
8	221	12108
9	260	12756
10	275	12246
11	313	12760
12	332	12446
13	355	12341
14	397	12857
15	422	12776
16	478	13581
17	501	13441
18	541	13705
19	569	13656
20	596	13601
21	626	13622
22	650	13496
23	676	13426
24	706	13428
25	742	13528
26	767	13449
27	791	13341
28	815	13249
29	832	13037
30	855	12941
31	873	12774
32	895	12678
33	907	12442
34	919	12217
35	933	12025
36	946	11845
37	963	11715
38	976	11539
39	987	11354
40	998	11174
41	1010	11021
42	1018	10826
43	1029	10669
44	1040	10516
45	1045	10318
46	1053	10154
47	1058	9970
48	1067	9826
49	1074	9671
50	1080	9513
51	1087	9367
52	1095	9239
53	1105	9133
54	1116	9033
55	1122	8896
56	1130	8786
57	1135	8655
58	1144	8553
59	1149	8429
60	1157	8333
61	1166	8243
62	1172	8131
63	1182	8056
64	1191	7972
65	1199	7888
66	1210	7825
67	1221	7756
68	1229	7679
69	1238	7610
70	1253	7574
71	1265	7521
72	1277	7470
73	1293	7446
74	1313	7440
75	1327	7405
76	1344	7388
77	1359	7352
78	1371	7310
79	1383	7263
80	1395	7220
81	1405	7164
82	1411	7092
83	1422	7043
84	1432	6992
85	1444	6955
86	1455	6910
87	1462	6847
88	1471	6796
89	1476	6728
90	1486	6681
91	1495	6630
92	1500	6567
93	1508	6517
94	1513	6454
95	1524	6415
96	1536	6384
97	1549	6356
98	1562	6330
99	1576	6304
100	1589	6281
101	1603	6256
102	1619	6241
103	1633	6220
104	1648	6200
105	1662	6178
106	1680	6172
107	1697	6160
108	1710	6136
109	1724	6112
110	1740	6098
111	1757	6090
112	1766	6051
113	1779	6024
114	1790	5993
115	1799	5957
116	1810	5927
117	1819	5889
118	1829	5856
119	1839	5824
120	1850	5795
121	1864	5777
122	1873	5743
123	1883	5710
124	1895	5685
125	1906	5658
126	1917	5632
127	1930	5609
128	1935	5565
129	1944	5535
130	1955	5508
131	1961	5469
132	1970	5436
133	1975	5395
134	1985	5368
135	1997	5347
136	2014	5336
137	2025	5312
138	2038	5295
139	2049	5271
140	2056	5237
141	2064	5205
142	2069	5167
143	2077	5137
144	2083	5100
145	2091	5072
146	2098	5040
147	2105	5008
148	2115	4982
149	2122	4951
150	2131	4925
151	2141	4903
152	2148	4872
153	2156	4846
154	2165	4820
155	2174	4794
156	2184	4772
157	2194	4750
158	2201	4722
159	2208	4693
160	2218	4671
161	2229	4652
162	2235	4620
163	2243	4595
164	2249	4566
165	2257	4542
166	2262	4511
167	2271	4488
168	2277	4460
169	2285	4436
170	2294	4413
171	2298	4384
172	2307	4362
173	2312	4333
174	2322	4312
175	2327	4284
176	2337	4265
177	2346	4245
178	2351	4217
179	2359	4194
180	2364	4167
181	2371	4143
182	2379	4121
183	2389	4104
184	2401	4088
185	2411	4071
186	2419	4049
187	2429	4032
188	2440	4015
189	2447	3993
190	2455	3972
191	2460	3947
192	2469	3928
193	2479	3910
194	2483	3885
195	2492	3865
196	2497	3841
197	2506	3823
198	2517	3807
199	2524	3786
200	2533	3769
201	2546	3756
202	2558	3742
203	2565	3722
204	2575	3706
205	2585	3690
206	2593	3671
207	2601	3652
208	2613	3639
209	2623	3623
210	2633	3607
211	2651	3602
212	2664	3589
213	2677	3577
214	2688	3563
215	2695	3544
216	2707	3531
217	2720	3519
218	2732	3506
219	2743	3491
220	2755	3478
221	2763	3460
222	2773	3445
223	2784	3430
224	2796	3417
225	2806	3402
226	2812	3382
227	2824	3369
228	2836	3356
229	2841	3336
230	2851	3320
231	2861	3305
232	2867	3285
233	2876	3269
234	2884	3252
235	2890	3233
236	2896	3213
237	2902	3194
238	2908	3176
239	2914	3157
240	2919	3137
241	2927	3120
242	2932	3101
243	2940	3085
244	2949	3070
245	2955	3051
246	2964	3036
247	2969	3017
248	2978	3001
249	2983	2983
250	2991	2967
251	2996	2948
252	3005	2934
253	3015	2920
254	3030	2911
255	3043	2900
256	3057	2891
257	3071	2880
258	3079	2865
259	3088	2850
260	3098	2837
261	3107	2823
262	3114	2806
263	3127	2795
264	3138	2783
265	3150	2771
266	3162	2759
267	3169	2743
268	3180	2731
269	3189	2717
270	3199	2703
271	3205	2687
272	3217	2675
273	3228	2663
274	3241	2652
275	3265	2650
276	3271	2633
277	3280	2619
278	3286	2603
279	3295	2589
280	3300	2571
281	3307	2557
282	3313	2540
283	3320	2525
284	3325	2508
285	3333	2494
286	3340	2479
287	3347	2464
288	3355	2450
289	3362	2434
290	3370	2420
291	3376	2405
292	3384	2391
293	3389	2375
294	3397	2361
295	3403	2345
296	3411	2331
297	3418	2317
298	3426	2303
299	3432	2288
300	3439	2274
301	3448	2260
302	3453	2245
303	3461	2231
304	3466	2216
305	3474	2202
306	3481	2188
307	3490	2175
308	3496	2161
309	3506	2148
310	3518	2138
311	3530	2127
312	3541	2115
313	3548	2102
314	3558	2090
315	3567	2077
316	3572	2062
317	3580	2049
318	3585	2034
319	3593	2021
320	3599	2007
321	3608	1994
322	3613	1980
323	3623	1968
324	3632	1956
325	3638	1941
326	3646	1929
327	3653	1915
328	3664	1904
329	3677	1894
330	3687	1882
331	3692	1868
332	3702	1856
333	3711	1844
334	3716	1830
335	3725	1818
336	3730	1804
337	3738	1792
338	3745	1778
339	3753	1766
340	3758	1752
341	3766	1740
342	3771	1726
343	3780	1714
344	3785	1700
345	3793	1688
346	3800	1675
347	3806	1662
348	3814	1650
349	3819	1637
350	3827	1624
351	3833	1611
352	3841	1599
353	3846	1586
354	3854	1574
355	3859	1561
356	3868	1549
357	3873	1536
358	3881	1524
359	3887	1511
360	3896	1500
361	3908	1490
362	3919	1479
363	3927	1467
364	3939	1457
365	3949	1445
366	3960	1435
367	3968	1423
368	3978	1412
369	3989	1401
370	4000	1390
371	4007	1378
372	4016	1367
373	4025	1356
374	4031	1343
375	4039	1332
376	4045	1320
377	4054	1308
378	4059	1296
379	4069	1285
380	4079	1274
381	4085	1262
382	4095	1251
383	4111	1241
384	4121	1230
385	4137	1221
386	4156	1213
387	4171	1204
388	4187	1194
389	4201	1185
390	4215	1175
391	4230	1165
392	4244	1155
393	4257	1145
394	4270	1135
395	4281	1124
396	4292	1113
397	4304	1103
398	4317	1092
399	4322	1080
400	4333	1069
401	4343	1058
402	4349	1046
403	4359	1035
404	4371	1025
405	4381	1014
406	4388	1002
407	4398	991
408	4408	980
409	4413	968
410	4422	957
411	4427	945
412	4436	934
413	4443	923
414	4450	911
415	4460	900
416	4466	889
417	4475	877
418	4480	866
419	4488	854
420	4499	844
421	4509	833
422	4522	823
423	4536	813
424	4549	802
425	4562	792
426	4580	783
427	4598	773
